Date,Price,Open,High,Low,Vol.
2021-05-12,"80,000","80,900","81,100","79,800",9.71K
2021-05-13,"78,500","78,900","79,600","78,500",4.26K
2021-05-14,"80,100","79,000","80,300","78,900",16.37M
2021-05-16,"80,100","80,100","80,100","80,100",-
2021-05-17,"79,600","80,900","80,900","79,200",6.45K
2021-05-18,"79,600","79,600","80,000","79,100",17.27M
2021-05-19,"79,600","79,600","79,600","79,600",-
2021-05-20,"79,500","79,400","79,700","79,100",0.32K
2021-05-21,"80,100","80,100","81,500","79,800",20.80M
2021-05-23,"80,100","80,100","80,100","80,100",-
2021-05-24,"79,700","80,100","80,400","79,500",0.88K
2021-05-25,"79,900","80,000","80,400","79,800",12.55M
2021-05-26,"79,800","80,300","80,500","79,700",0.79K
2021-05-27,"79,600","80,000","80,000","79,100",1.51K
2021-05-28,"80,100","79,800","80,400","79,400",12.27M
2021-05-30,"80,100","80,100","80,100","80,100",-
2021-05-31,"80,500","80,300","80,600","79,600",13.28M
2021-06-01,"80,600","80,400","81,200","80,100",4.06K
2021-06-02,"80,800","80,400","81,400","80,300",1.27K
2021-06-03,"82,800","81,300","83,000","81,100",12.10K
2021-06-04,"82,200","82,700","82,700","81,500",18.06M
2021-06-06,"82,200","82,200","82,200","82,200",-
2021-06-07,"81,900","82,700","82,800","81,600",3.95K
2021-06-08,"81,900","82,300","82,600","81,800",13.46K
2021-06-09,"81,100","81,600","82,000","81,100",4.87K
2021-06-10,"81,000","81,400","81,400","80,900",0.32K
2021-06-11,"81,000","81,200","81,700","80,700",13.81M
2021-06-13,"81,000","81,000","81,000","81,000",-
2021-06-14,"80,500","80,900","80,900","80,500",1.07K
2021-06-15,"80,900","80,900","81,200","80,600",9.84M
2021-06-16,"81,800","81,400","81,900","81,100",2.27K
2021-06-17,"80,900","81,200","81,200","80,700",0.39K
2021-06-18,"80,500","81,100","81,100","80,500",14.62M
2021-06-20,"80,500","80,500","80,500","80,500",-
2021-06-21,"79,900","79,700","80,000","79,600",15.99M
2021-06-22,"80,000","80,200","80,300","79,900",1.38K
2021-06-23,"80,100","80,600","80,600","79,900",2.25K
2021-06-24,"81,200","80,300","81,400","80,100",2.11K
2021-06-25,"81,600","81,500","81,900","81,200",12.97M
2021-06-27,"81,600","81,600","81,600","81,600",-
2021-06-28,"81,900","81,700","82,000","81,600",56.64K
2021-06-29,"81,000","81,900","82,100","80,800",1.58K
2021-06-30,"80,700","81,200","81,400","80,700",0.97K
2021-07-01,"80,100","80,600","80,600","80,000",13.59K
2021-07-02,"80,000","80,000","80,400","79,900",8.18M
2021-07-04,"80,000","80,000","80,000","80,000",-
2021-07-05,"80,400","80,200","80,800","80,000",0.76K
2021-07-06,"81,200","80,500","81,200","80,500",22.57K
2021-07-07,"80,800","81,300","81,300","80,300",9.41K
2021-07-08,"79,900","81,100","81,100","79,900",6.82K
2021-07-09,"79,400","79,600","79,800","79,000",22.41M
2021-07-11,"79,400","79,400","79,400","79,400",-
2021-07-12,"79,700","79,900","80,000","79,500",0.77K
2021-07-13,"79,800","79,900","80,200","79,800",8.22K
2021-07-14,"79,500","79,400","79,600","79,100",11.41M
2021-07-15,"80,600","79,800","80,600","79,500",0.70K
2021-07-16,"79,800","80,100","80,100","79,500",10.78M
2021-07-18,"79,800","79,800","79,800","79,800",-
2021-07-19,"79,000","79,200","79,200","78,800",2.48K
2021-07-20,"79,000","78,600","79,000","78,400",0.55K
2021-07-21,"78,500","79,000","79,100","78,500",0.17K
2021-07-22,"79,700","79,000","79,800","78,900",11.63K
2021-07-23,"79,300","79,700","79,900","79,200",8.98M
2021-07-25,"79,300","79,300","79,300","79,300",-
2021-07-26,"78,800","79,400","79,500","78,800",1.25K
2021-07-27,"78,500","79,100","79,300","78,500",4.44K
2021-07-28,"79,200","78,200","79,200","78,100",9.00K
2021-07-29,"79,000","78,900","79,300","78,800",3.62K
2021-07-30,"78,500","78,900","78,900","78,500",13.12M
2021-08-01,"78,500","78,500","78,500","78,500",-
2021-08-02,"79,300","79,100","79,500","78,700",1.55K
2021-08-03,"81,400","79,400","81,400","79,300",1.46K
2021-08-04,"82,900","82,100","83,100","81,800",25.81K
2021-08-05,"82,100","83,200","83,300","82,000",2.46K
2021-08-06,"81,500","81,900","82,500","81,300",13.28M
2021-08-08,"81,500","81,500","81,500","81,500",-
2021-08-09,"81,500","81,500","82,300","80,900",15.37M
2021-08-10,"80,200","82,300","82,300","80,100",13.75K
2021-08-11,"78,500","79,600","79,800","78,500",29.83M
2021-08-12,"77,000","77,300","78,200","76,900",57.26K
2021-08-13,"74,400","75,800","76,000","74,100",60.80M
2021-08-16,"74,400","74,400","74,400","74,400",-
2021-08-17,"74,200","74,300","75,100","74,000",7.44K
2021-08-18,"73,900","73,900","74,600","73,100",28.93M
2021-08-19,"73,100","73,500","74,400","73,100",18.14K
2021-08-20,"72,700","73,500","73,900","72,500",22.12M
2021-08-22,"72,700","72,700","72,700","72,700",-
2021-08-23,"73,300","73,300","74,000","73,000",19.30M
2021-08-24,"75,600","73,900","75,700","73,900",0.37K
2021-08-25,"75,700","76,200","76,500","74,900",2.00K
2021-08-26,"74,600","76,100","76,200","74,600",4.67K
2021-08-27,"74,300","74,300","75,000","73,800",15.06M
2021-08-29,"74,300","74,300","74,300","74,300",-
2021-08-30,"74,600","75,400","75,400","74,200",4.29K
2021-08-31,"76,700","74,800","76,700","74,300",16.70K
2021-09-01,"76,800","76,600","77,100","75,900",0.84K
2021-09-02,"76,000","76,800","76,800","75,700",1.76K
2021-09-03,"76,600","76,400","76,700","76,000",11.89M
2021-09-05,"76,600","76,600","76,600","76,600",-
2021-09-06,"77,300","76,800","77,600","76,600",3.42K
2021-09-07,"76,100","77,100","77,100","75,900",2.76K
2021-09-08,"76,300","76,100","76,400","75,600",1.09K
2021-09-09,"75,300","76,300","76,600","75,000",1.06K
2021-09-10,"75,300","75,300","75,600","74,800",10.04M
2021-09-12,"75,300","75,300","75,300","75,300",-
2021-09-13,"76,300","75,100","76,300","75,100",1.17K
2021-09-14,"76,600","77,000","77,700","76,600",3.83K
2021-09-15,"77,000","77,200","77,300","76,500",0.04K
2021-09-16,"76,100","77,300","77,400","76,100",12.88M
2021-09-17,"77,200","76,300","77,200","75,900",15.66M
2021-09-22,"77,200","77,200","77,200","77,200",-
2021-09-23,"77,400","77,500","77,600","76,900",0.49K
2021-09-24,"77,300","77,600","77,700","77,100",11.85M
2021-09-26,"77,300","77,300","77,300","77,300",-
2021-09-27,"77,700","77,300","77,700","77,000",11.63M
2021-09-28,"76,300","77,600","77,600","76,200",0.94K
2021-09-29,"74,100","74,800","75,300","73,800",15.27K
2021-09-30,"74,100","74,300","74,800","73,800",6.44K
2021-10-01,"73,200","73,900","74,000","72,900",15.70M
2021-10-04,"73,200","73,200","73,200","73,200",-
2021-10-05,"72,200","72,900","73,000","71,400",1.12K
2021-10-06,"71,300","72,700","72,800","71,200",8.34K
2021-10-07,"71,600","71,800","72,100","71,300",0.17K
2021-10-08,"71,500","72,300","72,400","71,500",13.97M
2021-10-11,"71,500","71,500","71,500","71,500",-
2021-10-12,"69,000","70,800","70,900","68,700",18.42K
2021-10-13,"68,800","68,700","69,600","68,400",0.57K
2021-10-14,"69,400","69,100","69,800","68,800",0.23K
2021-10-15,"70,100","70,200","71,000","70,000",17.53M
2021-10-17,"70,100","70,100","70,100","70,100",-
2021-10-18,"70,200","70,100","70,300","69,200",1.20K
2021-10-19,"70,600","70,800","71,000","70,400",0.03K
2021-10-20,"70,300","70,800","71,000","70,200",1.54K
2021-10-21,"70,200","70,300","70,600","70,000",2.87K
2021-10-22,"70,400","70,000","70,700","70,000",8.38M
2021-10-24,"70,400","70,400","70,400","70,400",-
2021-10-25,"70,200","70,000","70,600","69,500",0.15K
2021-10-26,"71,100","70,500","71,500","70,400",8.81K
2021-10-27,"70,100","71,000","71,000","70,000",3.67K
2021-10-28,"70,700","69,600","72,100","69,500",2.15K
2021-10-29,"69,800","71,200","71,600","69,700",16.50M
2021-10-31,"69,800","69,800","69,800","69,800",-
